number,google_rating,num_reviews
(01) 671 3011,2.9,109
(01) 679 3211,2.9,45
(01) 829 1880,4,1
(01) 478 4533,1.9,49
(01) 872 1022,3.3,127
(01) 868 0071,2.2,56
(01) 661 0188,3.7,33
(01) 834 1200,2.9,36
(01) 455 6833,3.3,42
(01) 837 3756,2.8,27
(01) 497 3336,2.6,37
(01) 821 2566,3.3,95
(01) 604 0034,3.4,38
(01) 842 6477,2.8,49
(01) 403 4284,3.8,26
(01) 831 8466,2.8,4
(01) 668 4116,2.9,13
(01) 842 0285,2.3,15
(01) 269 4622,3.2,22
(01) 497 5741,2.6,37
(01) 451 2811,3,63
(01) 831 4166,2.9,27
(01) 298 3777,3.3,23
(01) 288 5371,3.1,27
(01) 289 5590,2.6,38
(01) 457 4811,2.4,37
086 029 2225,4.1,41
(01) 288 0705,2.3,37
(01) 284 4055,3.5,24
(01) 490 4607,2.2,19
(01) 290 3700,3.9,32
(01) 414 4836,4.5,2
(01) 845 1166,3.2,17
(0818) 724 724,-,-
(01) 628 2991,3,34
(01) 654 0430,-,-
(01) 840 4001,2.9,56
(01) 624 4949,2.7,20
(01) 835 0203,3.8,26
